Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
CND,1 RIVER TER 3T,10282,3380000,100,,,0,2016-05-27,Market,NEW YORK,1,0
CND,1 RIVER TER 4C,10282,1678000,82,294515,17745,17,2019-01-24,Market,NEW YORK,0,0
CND,1 RIVER TER 4K,10282,1225000,100,,,0,2016-06-23,Market,NEW YORK,0,0
CND,1 RIVER TER 4M,10282,1905000,100,,,0,2020-05-08,Market,NEW YORK,0,0
CND,1 RIVER TER 5C,10282,1765000,41,1050000,,59,2022-07-15,Market,NEW YORK,1,0
CND,1 RIVER TER 5A,10282,2030000,80,450613,,17,2014-04-23,Market,NEW YORK,1,0
CND,1 RIVER TER 5E,10282,1775000,15,1500000,,83,2021-09-02,Market,NEW YORK,1,0
CND,1 RIVER TER 5B,10282,1145000,16,959131,,62,2015-07-17,Market,NEW YORK,0,0
CND,1 RIVER TER 7B,10282,1050000,100,,,0,2014-05-13,Market,NEW YORK,0,0
CND,1 RIVER TER 7L,10282,3200000,100,,,0,2016-09-02,Market,NEW YORK,0,0
CND,1 RIVER TER 7K,10282,1300000,35,845000,,66,2022-08-08,Market,NEW YORK,1,0
CND,1 RIVER TER 8H,10282,4150000,100,1000000,,27,2018-02-01,Market,NEW YORK,0,0
CND,1 RIVER TER 9R,10282,4275000,42,2500000,,52,2016-09-06,Market,NEW YORK,0,0
CND,1 RIVER TER 10R,10282,4600000,35,2990000,,71,2023-01-23,Market,NEW YORK,1,0
CND,1 RIVER TER 11F,10282,3169683,32,2160000,,48,2013-10-01,Market,NEW YORK,1,0
CND,1 RIVER TER 12A,10282,2325000,68,,,0,2015-11-12,Market,NEW YORK,0,0
CND,1 RIVER TER 12J,10282,4800000,100,,,0,2021-09-07,Market,NEW YORK,1,0
CND,1 RIVER TER 12M,10282,2150000,50,,,0,2014-04-04,Market,NEW YORK,0,0
CND,1 RIVER TER 14D,10282,4250000,100,,,0,2018-03-26,Market,NEW YORK,0,0
CND,2 RIVER TER 15A,10282,2495000,100,,,0,2019-02-20,Market,NEW YORK,1,0
CND,1 RIVER TER 18A,10282,2500000,30,1750000,,60,2021-06-30,Market,NEW YORK,1,0
CND,1 RIVER TER 18B,10282,2650000,20,2120000,100000,73,2016-06-10,Market,NEW YORK,0,0
CND,212 WARREN ST 3B,10282,2150500,0,1913945,1913945,168,2023-06-12,Market,NEW YORK,0,0
CND,212 WARREN ST 3C,10282,2930000,48,1520000,,45,2020-04-21,Market,NEW YORK,0,0
CND,212 WARREN ST 4B,10282,1995000,50,1000000,,40,2021-05-05,Market,NEW YORK,1,0
CND,212 WARREN ST 4J,10282,2900000,100,,,0,2018-08-22,Market,NEW YORK,0,0
CND,212 WARREN ST 8E,10282,2925000,30,2047500,,61,2021-03-15,Market,NEW YORK,1,0
CND,212 WARREN ST 7N,10282,6212500,100,,,0,2023-07-13,Market,NEW YORK,0,0
CND,212 WARREN ST 9A,10282,2127839,,1680000,,62,2020-01-29,NonMarket-Family,NEW YORK,0,0
CND,212 WARREN ST 9R,10282,2050000,73,559076,,24,2017-12-01,Market,NEW YORK,1,0
CND,212 WARREN ST 10C,10282,5000000,100,,,0,2018-02-16,Market,NEW YORK,1,0
CND,212 WARREN ST 10L,10282,4025000,100,,,0,2021-02-11,Market,NEW YORK,1,0
CND,212 WARREN ST 12C,10282,4650000,30,3255000,,67,2022-01-07,Market,NEW YORK,1,0
CND,212 WARREN ST 15E,10282,3253308,21,2556000,,72,2016-01-22,Market,NEW YORK,0,0
CND,212 WARREN ST 17S,10282,2795000,100,1100000,,36,2017-12-06,Market,NEW YORK,1,0
CND,212 WARREN ST 19A,10282,2102686,100,1652000,,65,2016-02-24,Market,NEW YORK,0,0
CND,212 WARREN ST 20E,10282,2700000,52,1300000,,49,2021-05-17,Market,NEW YORK,1,0
CND,212 WARREN ST 25E,10282,2800000,100,,,0,2021-11-05,Market,NEW YORK,1,0
The information contained in this report is subject to the license restrictions and all other terms contained in PropertyRadar.com's User Agreement.
