Zipcode,Population,Median Age,Household Income,Per Capita Income,Median Gross Rent,Poverty Count,Poverty Rate
10007,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
10013,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151325
10069,6259.0,40.0,197680.0,148668.0,3286.0,1493.0,23.85365074293018
10282,6450.0,38.7,250001.0,190521.0,3501.0,373.0,5.782945736434108
10453,80385.0,33.8,34800.0,19016.0,1362.0,27796.0,34.57859053305965
10457,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
11201,69755.0,35.1,163310.0,108933.0,3110.0,7004.0,10.040857286216042
11203,78506.0,42.3,68006.0,34492.0,1495.0,11030.0,14.049881537716862
11204,80575.0,34.7,64172.0,25404.0,1677.0,15434.0,19.154824697486813
11205,50319.0,29.7,74839.0,46352.0,2107.0,14408.0,28.633319422087084
11206,89949.0,30.4,51507.0,30119.0,1434.0,31283.0,34.77859676038644
11207,96801.0,35.4,52569.0,26544.0,1476.0,24846.0,25.667090216010166
11208,108180.0,33.8,56298.0,25229.0,1506.0,22895.0,21.16380107228693
11209,71812.0,40.6,88546.0,52048.0,1801.0,7636.0,10.633320336434021
11210,63426.0,38.2,82904.0,39710.0,1695.0,6970.0,10.989184246208179
11211,65511.0,31.3,94824.0,57866.0,2267.0,14998.0,22.893865152417153
11212,84006.0,37.2,35840.0,21502.0,1150.0,27283.0,32.477442087469946
11213,69131.0,34.0,54211.0,32775.0,1550.0,16222.0,23.465594306461647
11214,90796.0,40.6,60152.0,31311.0,1666.0,17583.0,19.365390545839023
11215,72014.0,37.2,173899.0,98246.0,2673.0,4189.0,5.816924486905324
11216,62373.0,34.2,92684.0,54361.0,2048.0,10170.0,16.305132028281466
11217,43045.0,35.8,152735.0,100325.0,2651.0,4706.0,10.932744801951447
11218,73318.0,37.3,87759.0,49052.0,1879.0,9618.0,13.118197441283177
11219,92283.0,25.8,51194.0,20336.0,1627.0,29888.0,32.3873302775159
11220,93008.0,36.0,62804.0,25708.0,1641.0,20513.0,22.055092035093754
11221,91236.0,32.3,77600.0,40787.0,1937.0,19547.0,21.424656933666537
11222,40137.0,34.8,126250.0,72001.0,2479.0,3306.0,8.236788997682936
11223,80113.0,37.3,61356.0,32102.0,1596.0,16584.0,20.700760176251045
11224,47893.0,49.4,40467.0,27382.0,925.0,13374.0,27.92474891946631
11225,58476.0,36.0,82716.0,46442.0,1730.0,8951.0,15.307134550926875
11226,101053.0,35.7,75947.0,39023.0,1672.0,14519.0,14.367708034397792
11228,44196.0,43.2,83980.0,42006.0,1732.0,5643.0,12.768123812109692
11229,81109.0,42.2,72799.0,39779.0,1586.0,12678.0,15.63081778840819
11230,90245.0,35.8,65051.0,33980.0,1680.0,16967.0,18.801041608953405
11231,38829.0,37.7,130396.0,87008.0,2309.0,5406.0,13.922583635942209
11232,28137.0,35.5,79599.0,38916.0,1865.0,4251.0,15.108220492589828
11233,83125.0,35.0,57812.0,34073.0,1510.0,19723.0,23.726917293233083
11234,89976.0,42.6,91379.0,44580.0,1732.0,8470.0,9.41362141015382
11235,83069.0,46.7,61320.0,40154.0,1595.0,13715.0,16.510370896483646
11236,100082.0,39.8,79885.0,35857.0,1608.0,12196.0,12.186007473871426
11237,47183.0,32.6,79136.0,35966.0,1998.0,10614.0,22.49539028887523
11238,58047.0,35.3,125747.0,79174.0,2368.0,6294.0,10.84293761951522
11239,16808.0,45.7,38670.0,30852.0,1018.0,3772.0,22.441694431223226
11249,45087.0,30.2,113946.0,66659.0,2644.0,10838.0,24.037971033779137
11355,79495.0,46.2,52658.0,28128.0,1625.0,16259.0,20.452858670356626
11368,112750.0,34.6,69391.0,24232.0,1884.0,19198.0,17.027050997782705
