Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
CND,1 JOHN ST 4A,11201,4600000,33,3062500,,62,3/9/2022,Market,BROOKLYN,0,0
CND,1 JOHN ST 9A,11201,4740000,100,,,0,5/12/2022,Market,BROOKLYN,0,0
CND,1 JOHN ST 9B,11201,5975000,100,,,0,9/23/2022,Market,BROOKLYN,1,0
CND,1 JOHN ST 6C,11201,2780000,20,2224000,,80,2/16/2022,Market,BROOKLYN,1,0
CND,1 JOHN ST 10D,11201,4200000,81,787743,,18,5/6/2022,Market,BROOKLYN,0,0
CND,1 MAIN ST 5D,11201,3700000,20,2960000,,81,6/22/2022,Market,BROOKLYN,0,0
CND,1 MAIN ST 6F,11201,1655000,71,478540,,30,7/25/2022,Market,BROOKLYN,0,0
CND,1 MAIN ST 9L,11201,2750000,30,1925000,,76,7/18/2022,Market,BROOKLYN,0,0
CND,1 MAIN ST 11F,11201,1675000,36,1075000,,65,4/26/2022,Market,BROOKLYN,1,0
CND,31 WASHINGTON ST 3,11201,250000,100,1750000,,85,8/31/2022,Market,BROOKLYN,0,0
CND,31 WASHINGTON ST 15,11201,4600000,100,3450000,,70,2/18/2022,Market,BROOKLYN,0,0
CND,133 WATER ST 6D,11201,1365000,95,66837,,4,6/17/2022,Market,BROOKLYN,0,0
CND,133 WATER ST 6A,11201,1290000,20,1032000,,70,10/7/2022,Market,BROOKLYN,0,0
CND,50 BRIDGE ST 412,11201,1350000,26,999000,,76,9/28/2022,Market,BROOKLYN,0,0
CND,50 BRIDGE ST 419,11201,1295000,30,906500,,63,12/6/2022,Market,BROOKLYN,1,0
CND,205 WATER ST 3C,11201,2125000,47,1132891,,54,8/25/2022,Market,BROOKLYN,0,0
CND,51 JAY ST 3N,11201,1265000,100,,,0,2/23/2022,Market,BROOKLYN,0,0
CND,51 JAY ST 5H,11201,1040000,34,690000,,67,6/17/2022,Market,BROOKLYN,0,0
CND,37 BRIDGE ST 2D,11201,1100000,20,880000,,76,7/6/2022,Market,BROOKLYN,1,0
CND,37 BRIDGE ST 4E,11201,1395000,100,,,0,10/18/2022,Market,BROOKLYN,1,0
CND,47 BRIDGE ST 2A,11201,965000,100,,,0,4/11/2022,Market,BROOKLYN,0,0
CND,47 BRIDGE ST 5D,11201,1575000,75,388596,,25,11/30/2022,Market,BROOKLYN,0,0
CND,4 WATER ST 3C,11201,2250000,25,1687500,,75,7/19/2022,Market,BROOKLYN,0,0
CND,30 MAIN ST 2D,11201,2400000,100,,,0,11/2/2022,Market,BROOKLYN,0,0
CND,30 MAIN ST 3A,11201,1975000,20,1580000,,77,5/11/2022,Market,BROOKLYN,0,0
