Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
CND,1 JOHN ST 4A,11201,4600000,33,3062500,,62,3/9/2022,Market,BROOKLYN,0,0
CND,1 JOHN ST 3A,11201,4550000,30,3185000,,60,7/7/2020,Market,BROOKLYN,0,0
CND,1 JOHN ST 4C,11201,2620000,69,556084,269000,30,5/21/2021,Market,BROOKLYN,0,0
CND,1 JOHN ST 5C,11201,2700000,100,,,0,9/3/2020,Market,BROOKLYN,1,0
CND,1 JOHN ST 9A,11201,4740000,100,,,0,5/12/2022,Market,BROOKLYN,0,0
CND,1 JOHN ST 8B,11201,5173120,52,2500000,,49,8/29/2016,Market,BROOKLYN,1,0
CND,1 JOHN ST 9B,11201,5975000,100,,,0,9/23/2022,Market,BROOKLYN,1,0
CND,1 JOHN ST 6C,11201,2780000,20,2224000,,80,2/16/2022,Market,BROOKLYN,1,0
CND,1 JOHN ST 10D,11201,4200000,81,787743,,18,5/6/2022,Market,BROOKLYN,0,0
CND,1 JOHN ST 8A,11201,4395000,30,3076500,,62,11/23/2021,Market,BROOKLYN,0,0
CND,1 JOHN ST 10A,11201,5050000,100,750000,,15,2/10/2020,Market,BROOKLYN,0,0
CND,1 JOHN ST PHC,11201,5700000,100,,,0,7/8/2021,Market,BROOKLYN,0,0
CND,183 PLYMOUTH ST 2N,11201,2100000,38,1300000,,50,6/21/2016,Market,BROOKLYN,0,0
CND,1 MAIN ST 2G,11201,1170000,20,936000,6522,54,5/27/2015,Market,BROOKLYN,0,0
CND,1 MAIN ST 2E,11201,1550000,20,1240000,,59,9/26/2018,Market,BROOKLYN,1,0
CND,1 MAIN ST 2K,11201,1785800,20,1428640,,69,1/11/2018,Market,BROOKLYN,1,0
CND,1 MAIN ST 2H,11201,2250000,56,1000000,,38,6/21/2021,Market,BROOKLYN,0,0
CND,1 MAIN ST 3E,11201,1950000,33,1300000,115836,61,9/24/2018,Market,BROOKLYN,1,0
CND,1 MAIN ST 3B,11201,4450000,22,3448750,,72,1/10/2019,Market,BROOKLYN,1,0
CND,1 MAIN ST 3L,11201,2125000,60,850000,,38,11/17/2023,Market,BROOKLYN,1,0
