Address,Count,Zipcode,Type,Owner Occ?,Purchase Amt,Amount Mortgaged,% Borrowed,Mtg Tx Pd,Mansion Tax Pd,New Sales Tax Amount,Population,Median Age,Household Income,Per Capita Income,Median Gross Rent,Poverty Count,Poverty Rate
1995 ANTHONY AVE,1,10457,SFR,0.0,2450000.0,2350000.0,95.91836734693877,45825.0,24500.0,22050.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
146 E 176TH ST,1,10453,SFR,0.0,490000.0,0.0,0.0,0.0,0.0,6860.0,80385.0,33.8,34800.0,19016.0,1362.0,27796.0,34.57859053305965
412 E 179TH ST,1,10457,SFR,0.0,355000.0,324328.0,91.36,5837.904,0.0,4970.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
2075 BATHGATE AVE,1,10457,SFR,0.0,420000.0,408000.0,97.14285714285714,7343.999999999999,0.0,5880.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
482 E 181ST ST,1,10457,SFR,0.0,365100.0,282000.0,77.2391125718981,5076.0,0.0,5111.400000000001,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
2167 ARTHUR AVE,1,10457,SFR,0.0,570000.0,0.0,0.0,0.0,0.0,7980.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
2064 ARTHUR AVE,1,10457,SFR,0.0,355000.0,250000.0,70.4225352112676,4500.0,0.0,4970.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
2169 HUGHES AVE,1,10457,SFR,0.0,323000.0,317149.0,98.18854489164087,5708.682,0.0,4522.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
2135 CROTONA AVE 3A,1,10457,CND,0.0,250000.0,187500.0,75.0,3374.9999999999995,0.0,3500.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
2167 PROSPECT AVE,1,10457,SFR,0.0,358000.0,343660.0,95.99441340782124,6185.879999999999,0.0,5012.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
2222 VALENTINE AVE,1,10457,SFR,0.0,398000.0,384716.0,96.66231155778895,6924.888,0.0,5572.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
2039 VALENTINE AVE,1,10457,SFR,0.0,525000.0,472000.0,89.90476190476191,8496.0,0.0,7350.0,79817.0,30.8,41145.0,20187.0,1381.0,27317.0,34.224538632120975
60 BUCHANAN PL,1,10453,SFR,0.0,765000.0,420000.0,54.90196078431373,7559.999999999999,0.0,10710.0,80385.0,33.8,34800.0,19016.0,1362.0,27796.0,34.57859053305965
2127 HARRISON AVE,1,10453,SFR,0.0,575000.0,287000.0,49.91304347826088,5166.0,0.0,8050.0,80385.0,33.8,34800.0,19016.0,1362.0,27796.0,34.57859053305965
2238 ANDREWS AVE,1,10453,SFR,0.0,425000.0,340000.0,80.0,6119.999999999999,0.0,5950.0,80385.0,33.8,34800.0,19016.0,1362.0,27796.0,34.57859053305965
2229 DR MARTIN L KING JR BLVD,1,10453,SFR,0.0,570000.0,0.0,0.0,0.0,0.0,7980.0,80385.0,33.8,34800.0,19016.0,1362.0,27796.0,34.57859053305965
2215 DR MARTIN L KING JR BLVD,1,10453,SFR,0.0,465000.0,320000.0,68.81720430107528,5760.0,0.0,6510.0,80385.0,33.8,34800.0,19016.0,1362.0,27796.0,34.57859053305965
153 W 179TH ST,1,10453,SFR,0.0,900000.0,765000.0,85.0,14917.5,0.0,12600.0,80385.0,33.8,34800.0,19016.0,1362.0,27796.0,34.57859053305965
171 W 179TH ST,1,10453,SFR,0.0,760000.0,608000.0,80.0,11856.0,0.0,10640.0,80385.0,33.8,34800.0,19016.0,1362.0,27796.0,34.57859053305965
30 PARK PL 39E,1,10007,CND,0.0,1043706.0,0.0,0.0,0.0,10437.06,9393.354,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
30 PARK PL 39C,1,10007,CND,0.0,1650000.0,1237500.0,75.0,24131.25,16500.0,14849.999999999998,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
30 PARK PL 39L,1,10007,CND,0.0,1150000.0,0.0,0.0,0.0,11500.0,10350.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
30 PARK PL 39K,1,10007,CND,0.0,1128000.0,0.0,0.0,0.0,11280.0,10152.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
30 PARK PL 41A,1,10007,CND,0.0,4865000.0,0.0,0.0,0.0,48650.0,43785.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
30 PARK PL 70A,1,10007,CND,0.0,11600000.0,7540000.0,65.0,147030.0,116000.0,104400.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
30 PARK PL 77A,1,10007,CND,0.0,17995000.0,0.0,0.0,0.0,179950.0,161955.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
275 GREENWICH ST 3FS,1,10007,CND,0.0,975000.0,0.0,0.0,0.0,0.0,13650.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
275 GREENWICH ST 4MS,1,10007,CND,0.0,1078000.0,0.0,0.0,0.0,10780.0,9702.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
275 GREENWICH ST 4KS,1,10007,CND,0.0,2850000.0,0.0,0.0,0.0,28500.0,25650.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
275 GREENWICH ST 10DS,1,10007,CND,0.0,1041000.0,0.0,0.0,0.0,10410.0,9369.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
83 MURRAY ST 1,1,10007,CND,0.0,2300000.0,0.0,0.0,0.0,23000.0,20700.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
45 WARREN ST 4,1,10007,CND,0.0,5750000.0,1075000.0,18.695652173913043,20962.5,57500.0,51749.99999999999,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
49 MURRAY ST 4,1,10007,CND,0.0,3375000.0,0.0,0.0,0.0,33750.0,30375.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
53 MURRAY ST 1,1,10007,CND,0.0,3250000.0,0.0,0.0,0.0,32500.0,29250.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
53 WARREN ST 5,1,10007,CND,0.0,2925000.0,2340000.0,80.0,45630.0,29250.0,26325.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
9 MURRAY ST 11NE,1,10007,CND,0.0,3500000.0,2625000.0,75.0,51187.5,35000.0,31500.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
25 MURRAY ST 2G,1,10007,CND,0.0,1995000.0,783524.0,39.27438596491228,15278.718,19950.0,17955.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
25 MURRAY ST 6J,1,10007,CND,0.0,2400000.0,862000.0,35.91666666666667,16809.0,24000.0,21600.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
25 MURRAY ST 7D,1,10007,CND,0.0,2600000.0,2040000.0,78.46153846153847,39780.0,26000.0,23400.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
80 CHAMBERS ST 12D,1,10007,CND,0.0,2075000.0,1452500.0,70.0,28323.75,20750.0,18675.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
80 CHAMBERS ST 13B,1,10007,CND,0.0,1255000.0,385872.0,30.74677290836653,6945.696,12550.0,11295.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
80 CHAMBERS ST 14E,1,10007,CND,0.0,1600000.0,0.0,0.0,0.0,16000.0,14399.999999999998,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
270 BROADWAY 23B,1,10007,CND,0.0,3500000.0,0.0,0.0,0.0,35000.0,31500.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
8 WARREN ST 2E,1,10007,CND,0.0,2999000.0,0.0,0.0,0.0,29990.0,26991.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
12 WARREN ST 6,1,10007,CND,0.0,5150000.0,1700000.0,33.00970873786408,33150.0,51500.0,46350.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
38 WARREN ST 7A,1,10007,CND,0.0,2195000.0,0.0,0.0,0.0,21950.0,19755.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
295 GREENWICH ST 5LN,1,10007,CND,0.0,1088000.0,761600.0,70.0,14851.2,10880.0,9792.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
92 WARREN ST 7,1,10007,CND,0.0,4550000.0,3412500.0,75.0,66543.75,45500.0,40950.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
146 CHAMBERS ST 3,1,10007,CND,0.0,2750000.0,600000.0,21.818181818181817,11700.0,27500.0,24750.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
303 GREENWICH ST 4J,1,10013,CND,0.0,2400000.0,115274.0,4.803083333333333,2074.932,24000.0,21600.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
