Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
SFR,1695 CLAY AVE,10457,390000,100,,,0,3/21/2016,Market,BRONX,1,0
SFR,163 BUSH ST,10453,850000,100,,,0,11/5/2020,Market,BRONX,1,0
SFR,165 BUSH ST,10453,850000,100,,,0,10/23/2020,Market,BRONX,1,0
SFR,1995 ANTHONY AVE,10457,2450000,100,2350000,,90,7/23/2018,Market,BRONX,0,0
SFR,1962 ANTHONY AVE,10457,1126000,0,1350000,,166,4/18/2022,Market,BRONX,1,0
SFR,146 E 176TH ST,10453,490000,25,,,0,7/31/2018,Market,BRONX,0,0
SFR,1857 HARRISON AVE,10453,436800,14,376800,14323,46,7/27/2015,Market Flip,BRONX,1,0
SFR,105 W TREMONT AVE,10453,900000,100,2160000,,71,3/25/2021,Market,BRONX,1,0
SFR,1710 UNDERCLIFF AVE,10453,610000,25,457500,,78,5/22/2023,Market,BRONX,1,0
SFR,1746 UNDERCLIFF AVE,10453,340000,50,380548,39167,44,6/1/2006,Market Flip,BRONX,1,0
SFR,1748 UNDERCLIFF AVE,10453,560000,2,549857,136576,107,12/9/2019,Market,BRONX,1,0
SFR,1766 UNDERCLIFF AVE,10453,490000,20,392000,,76,10/17/2023,Market,BRONX,1,0
SFR,1770 UNDERCLIFF AVE,10453,465000,5,441750,,86,6/8/2022,Market,BRONX,1,0
SFR,1774 UNDERCLIFF AVE,10453,295000,2,289656,77790,66,6/18/2015,Market,BRONX,1,0
SFR,412 E 179TH ST,10457,355000,100,324328,,47,8/13/2013,Market,BRONX,0,0
SFR,410 E 179TH ST,10457,655000,2,643136,,100,12/1/2022,Market,BRONX,1,0
SFR,4463 PARK AVE,10457,455000,5,432250,15184,73,12/5/2018,Market,BRONX,1,0
SFR,410 E 182ND ST,10457,305000,2,299475,75000,62,8/2/2017,Market,BRONX,1,0
SFR,4453 PARK AVE,10457,570000,2,559675,,102,9/15/2023,Market Flip,BRONX,1,0
SFR,4455 PARK AVE,10457,520000,2,510581,,90,11/1/2022,Market,BRONX,1,0
SFR,2052 BATHGATE AVE,10457,580000,5,551000,,86,8/2/2021,Market,BRONX,1,0
SFR,2083 BATHGATE AVE,10457,445000,25,333750,,56,12/27/2018,Market,BRONX,1,0
SFR,2075 BATHGATE AVE,10457,420000,5,408000,,74,5/30/2019,Market,BRONX,0,0
SFR,482 E 181ST ST,10457,365100,23,282000,,46,3/28/2018,Market,BRONX,0,0
SFR,540 E 182ND ST,10457,375000,5,356250,14465,61,6/25/2018,Market,BRONX,1,0
SFR,2257 BATHGATE AVE,10457,600000,100,,,0,5/23/2022,Market,BRONX,1,0
SFR,503 E 182ND ST,10457,375000,100,,,0,9/17/2018,Market,BRONX,1,1
SFR,10 WADE SQ,10457,542000,2,532183,,92,5/11/2022,Market,BRONX,1,0
SFR,2179 ARTHUR AVE,10457,575000,3,559675,,96,11/9/2023,Market,BRONX,1,0
SFR,12 WADE SQ,10457,450000,2,441849,,79,3/7/2023,Market,BRONX,1,0
SFR,2175 ARTHUR AVE,10457,570000,6,536731,,90,6/6/2022,Market,BRONX,1,0
SFR,2169 ARTHUR AVE,10457,625000,32,427500,,67,10/27/2020,Market,BRONX,1,0
SFR,2167 ARTHUR AVE,10457,570000,100,,,0,7/14/2023,Short Sale,BRONX,0,0
SFR,2165 ARTHUR AVE,10457,530000,0,918750,,72,4/9/2020,Market,BRONX,1,0
SFR,2052 ARTHUR AVE,10457,345000,5,327750,,51,3/13/2017,Market,BRONX,1,0
SFR,2064 ARTHUR AVE,10457,355000,30,250000,,37,1/17/2019,Market,BRONX,0,0
SFR,612 E 181ST ST,10457,330000,5,313500,,47,10/26/2016,Market,BRONX,1,0
SFR,2127 E 181ST ST,10457,575000,3,557844,,90,6/21/2022,Market,BRONX,1,0
SFR,2178 ARTHUR AVE,10457,450000,92,34981,,6,1/5/2021,Market,BRONX,1,0
SFR,2170 ARTHUR AVE,10457,322500,20,390000,,68,6/2/2015,Market,BRONX,1,0
SFR,2169 HUGHES AVE,10457,323000,2,317149,,49,12/9/2015,Market,BRONX,0,0
SFR,617 OAK TREE PL,10457,630000,2,618589,31200,101,8/18/2021,Market,BRONX,1,0
SFR,2165 HUGHES AVE,10457,519000,10,467100,,76,1/20/2021,Market,BRONX,1,0
SFR,615 OAK TREE PL,10457,312000,0,293000,,50,7/29/2014,Market,BRONX,1,0
SFR,2152 HUGHES AVE,10457,520000,2,510581,14279,85,10/6/2020,Market,BRONX,1,0
SFR,2156 HUGHES AVE,10457,331000,100,,,0,11/12/2019,Market,BRONX,1,0
CND,2135 CROTONA AVE 3A,10457,250000,25,187500,,56,7/24/2018,Market,BRONX,0,0
CND,2135 CROTONA AVE 4C,10457,278999,20,223199,,77,2/27/2023,Market,BRONX,1,0
SFR,1978 CROTONA AVE,10457,500000,0,501936,,79,8/21/2020,Market,BRONX,1,0
SFR,751 E 180TH ST,10457,500000,32,,,0,7/15/2019,Market,BRONX,1,0
